Original,Log with 4 places,Log with 3 places,Log with 2 places
1.87848E-07,1.87716E-07,1.88251E-07,1.93499E-07
8.1401E-07,8.13436E-07,8.15756E-07,8.38494E-07
1.25232E-07,1.25144E-07,1.25501E-07,1.28999E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.44995E-08
1.25232E-07,1.25144E-07,1.25501E-07,1.36166E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
3.06819E-06,3.06603E-06,3.03943E-06,3.23041E-06
5.00929E-07,5.00576E-07,4.96233E-07,5.38402E-07
1.25232E-07,1.25144E-07,1.24058E-07,1.34601E-07
1.25232E-07,1.25144E-07,1.24058E-07,1.34601E-07
6.51208E-06,6.50749E-06,6.51306E-06,7.13383E-06
3.75697E-07,3.75432E-07,3.72175E-07,4.03802E-07
6.26162E-08,6.2572E-08,6.20292E-08,6.73003E-08
6.26162E-08,6.2572E-08,6.20292E-08,6.73003E-08
1.87848E-07,1.87716E-07,1.88251E-07,2.04249E-07
2.62988E-06,2.62803E-06,2.63552E-06,2.7914E-06
2.33767E-06,2.33602E-06,2.34268E-06,2.48124E-06
2.92209E-07,2.92003E-07,2.92835E-07,3.10155E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
2.50465E-07,2.50288E-07,2.51002E-07,2.59953E-07
2.50465E-07,2.50288E-07,2.51002E-07,2.59953E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.49882E-08
1.87848E-07,1.87716E-07,1.88251E-07,1.94965E-07
1.25232E-07,1.25144E-07,1.25501E-07,1.29976E-07
3.75697E-07,3.75432E-07,3.76503E-07,3.89929E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.49882E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.49882E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
6.26162E-07,6.2572E-07,6.29643E-07,6.96623E-07
6.26162E-07,6.2572E-07,6.29643E-07,6.96623E-07
6.26162E-08,6.2572E-08,6.29643E-08,6.6345E-08
6.26162E-08,6.25557E-08,6.2948E-08,6.63289E-08
0.000480078,0.000479865,0.000484448,0.000544427
6.26162E-08,6.25557E-08,6.2948E-08,6.63289E-08
6.26162E-08,6.2572E-08,6.29643E-08,6.6345E-08
6.26162E-08,6.2572E-08,6.29643E-08,6.6345E-08
6.26162E-08,6.2572E-08,6.29643E-08,6.6345E-08
1.87848E-07,1.87716E-07,1.88893E-07,1.99035E-07
4.38313E-07,4.38004E-07,4.4075E-07,5.16017E-07
1.25232E-07,1.25144E-07,1.25929E-07,1.47433E-07
1.1584E-05,1.15758E-05,1.15854E-05,1.14113E-05
2.50465E-07,2.50288E-07,2.51857E-07,2.6538E-07
6.26162E-08,6.2572E-08,6.29643E-08,6.6345E-08
1.87848E-07,1.87716E-07,1.88251E-07,2.04249E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
3.13081E-07,3.1286E-07,3.13752E-07,3.40414E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
5.63545E-07,5.63148E-07,5.64754E-07,6.80829E-07
6.26162E-08,6.26443E-08,6.21734E-08,6.54994E-08
6.26162E-08,6.26443E-08,6.21734E-08,6.54994E-08
4.38313E-07,4.3851E-07,4.35214E-07,4.58495E-07
5.2034E-05,5.20574E-05,5.19148E-05,5.64604E-05
1.62802E-06,1.62875E-06,1.61651E-06,1.63748E-06
2.50465E-07,2.50288E-07,2.51002E-07,2.72331E-07
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
2.50465E-07,2.50288E-07,2.47825E-07,2.52645E-07
1.25232E-07,1.25144E-07,1.23912E-07,1.26322E-07
4.57098E-06,4.56776E-06,4.5228E-06,4.86341E-06
9.39242E-07,9.3858E-07,9.41257E-07,1.02124E-06
1.25232E-07,1.25144E-07,1.25501E-07,1.36166E-07
2.25418E-06,2.25259E-06,2.25902E-06,2.31482E-06
9.39242E-07,9.3858E-07,9.41257E-07,1.02124E-06
6.26162E-08,6.2572E-08,6.27504E-08,7.65932E-08
1.00186E-06,1.00115E-06,1.00401E-06,1.1489E-06
6.26162E-08,6.2572E-08,6.27504E-08,6.80829E-08
1.25232E-07,1.25144E-07,1.25501E-07,1.36166E-07
1.25232E-07,1.25144E-07,1.25501E-07,1.36166E-07
7.51394E-07,7.50864E-07,7.53005E-07,7.48911E-07
1.25232E-07,1.25144E-07,1.25501E-07,1.36166E-07
6.26162E-08,6.25919E-08,6.27405E-08,7.66293E-08
6.13638E-06,6.13401E-06,6.14857E-06,6.97327E-06
1.87848E-07,1.87776E-07,1.88221E-07,2.29888E-07
6.26162E-08,6.25919E-08,6.27405E-08,7.66293E-08
1.00186E-06,1.00147E-06,1.00385E-06,1.14944E-06
1.87848E-07,1.87776E-07,1.88221E-07,2.29888E-07
1.25232E-07,1.25184E-07,1.25481E-07,1.53259E-07
1.10831E-05,1.10788E-05,1.11678E-05,1.31802E-05
1.87848E-07,1.87776E-07,1.88221E-07,2.29888E-07
3.25604E-06,3.25478E-06,3.2625E-06,4.29124E-06
2.50465E-07,2.50368E-07,2.51667E-07,2.75548E-07
3.75697E-07,3.75552E-07,3.775E-07,4.13322E-07
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
4.38313E-07,4.38144E-07,4.40417E-07,5.35788E-07
1.25232E-07,1.25184E-07,1.25833E-07,1.53082E-07
6.26162E-08,6.25919E-08,6.21935E-08,7.2892E-08
3.75697E-07,3.75552E-07,3.73161E-07,4.37352E-07
4.88406E-06,4.88217E-06,4.85109E-06,5.61269E-06
1.25232E-07,1.25184E-07,1.24387E-07,1.45784E-07
1.25232E-07,1.25184E-07,1.25833E-07,1.37774E-07
1.87848E-07,1.87776E-07,1.8875E-07,2.06661E-07
2.50465E-07,2.50368E-07,2.51667E-07,2.75548E-07
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
3.75697E-07,3.75552E-07,3.775E-07,4.13322E-07
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
9.39242E-07,9.38879E-07,9.43751E-07,1.0333E-06
1.14588E-05,1.14543E-05,1.14522E-05,1.17124E-05
6.26162E-08,6.25919E-08,6.22402E-08,6.80952E-08
6.26162E-08,6.25919E-08,6.22402E-08,6.80952E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
7.51394E-07,7.51103E-07,7.55E-07,7.57757E-07
1.87848E-07,1.87776E-07,1.8875E-07,2.06661E-07
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
3.75697E-07,3.75552E-07,3.775E-07,4.13322E-07
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
6.26162E-08,6.25919E-08,6.29167E-08,6.8887E-08
1.37756E-06,1.3781E-06,1.3552E-06,1.28628E-06
6.26162E-08,6.2641E-08,6.16E-08,6.12514E-08
6.26162E-08,6.2641E-08,6.16E-08,6.12514E-08
6.26162E-08,6.2588E-08,6.16518E-08,6.27814E-08
6.50582E-05,6.5029E-05,6.44878E-05,6.35975E-05
8.95411E-06,8.95009E-06,8.75455E-06,9.22886E-06
6.26162E-08,6.2641E-08,6.16E-08,6.12514E-08
6.26162E-08,6.2641E-08,6.16E-08,6.12514E-08
1.25232E-07,1.25282E-07,1.232E-07,1.12294E-07
5.63545E-07,5.63769E-07,5.544E-07,5.61471E-07
3.5065E-06,3.5079E-06,3.4496E-06,3.3699E-06
6.26162E-08,6.2641E-08,6.16E-08,6.01768E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
3.75697E-07,3.75552E-07,3.73969E-07,3.95921E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.23297E-08
1.81587E-06,1.81517E-06,1.80752E-06,1.80756E-06
1.50279E-06,1.50221E-06,1.49587E-06,1.55824E-06
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
1.87848E-07,1.87776E-07,1.86984E-07,1.8365E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
1.87848E-07,1.87776E-07,1.86984E-07,1.8365E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
1.25232E-07,1.25184E-07,1.24656E-07,1.22433E-07
1.25232E-07,1.25184E-07,1.24656E-07,1.22433E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.12167E-08
3.75697E-07,3.75552E-07,3.73969E-07,3.673E-07
1.37756E-06,1.37702E-06,1.37122E-06,1.36141E-06
5.63545E-07,5.63327E-07,5.60953E-07,6.48291E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.48291E-08
1.50279E-06,1.50221E-06,1.49587E-06,1.62073E-06
1.50279E-06,1.50221E-06,1.49587E-06,1.57795E-06
6.26162E-08,6.25919E-08,6.23281E-08,6.77932E-08
1.06447E-06,1.06406E-06,1.05958E-06,1.08953E-06
5.63545E-07,5.63327E-07,5.60953E-07,6.05296E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.77932E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.31178E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.31178E-08
